node_id,officer_count,name,country_codes
230000018,35358,Morning Star Holdings Limited,KNA
23000136,14901,MOSSACK FONSECA & CO. (BAHAMAS) LIMITED,BHS
23000147,9717,UBS TRUSTEES (BAHAMAS) LTD.,BHS
23000330,8299,CREDIT SUISSE TRUST LIMITED,BHS
23000156,8286,TRIDENT CORPORATE SERVICES (BAH) LTD,BHS
23000133,8149,MMG BAHAMAS LTD.,BHS
11001746,7016,ORION HOUSE SERVICES (HK) LIMITED,HKG
32000236,6607,Internal User,BHS
298333,5699,Unitrust Corporate Services Ltd.,GBR
23000213,5318,K.M.C. CORPORATE SERVICES LTD.,BHS
23000046,5014,** DISABLED SUISSE SECURITY BANK & TRUST,BHS
23000280,4995,PRIVATE TRUST CORPORATION LIMITED,BHS
11011863,4364,MOSSACK FONSECA & CO.,PAN
11012037,4117,PRIME CORPORATE SOLUTIONS SARL,LUX
11001708,4094,OFFSHORE BUSINESS CONSULTANT (INT'L) LIMITED,HKG
298293,3896,Sealight Incorporations Limited,HKG
11008027,3888,MOSSACK FONSECA & CO. (SINGAPORE) PTE LTD.,SGP
23000198,3601,LENNOX CORPORATE SERVICES LIMITED,BHS
23000381,3421,ELCO CORPORATE SERVICES LIMITED,BHS
294268,3338,Offshore Business Consultant (HK) Ltd.,HKG
23000400,3304,"ALEMAN, CORDERO, GALINDO & LEE (BAHAMAS)",BHS
23000362,3264,CITITRUST (BAHAMAS) LIMITED,BHS
11009351,3168,CONSULCO INTERNATIONAL LIMITED,ARE;CYP
230000057,3113,Trust Services (Nevis) Limited,KNA
11007372,2986,MOSSACK FONSECA & CO. (GENEVA) S.A.,CHE
23000162,2831,HOWARD LAWRENCE,BHS
23000235,2786,M B & H CORPORATE SERVICES LIMITED,BHS
23000219,2785,GTC CORPORATE SERVICES LIMITED,BHS
23000228,2740,H & J CORPORATE SERVICES LTD.,BHS
297687,2671,Company Kit Limited,HKG
230000005,2635,Associated Trustees Limited,KNA
230000007,2603,Global Corporate & Trust Man. Limited,KNA
23000365,2545,AMBER TRUST LTD.,BHS
11011539,2538,MOSSACK FONSECA & CO. (U.K.) LIMITED,GBR
